Cities,State,Temp High °F,Temp Low °F,Year,Temp High °C,Temp Low °C,Days to 0 °F,Days 32 °F or below,Days rose to 70 °F,Days  rose to 90 °F,Precipitation Days,Percipitation Inches,Percipitation Milli­metres,Snow Days,Snow Inches,Snow Centi­metres,weather measurements made at,Lat,Lng
Atlanta,GA,73,56,2018,23,13,0,30,218,66,140,70.1,1780,1,2.4,6,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,75,56,2017,24,13,0,24,248,38,121,52.5,1334,1,2.3,6,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,76,56,2016,24,13,0,29,246,88,88,38.7,983,0,0.3,1,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,73,56,2015,23,13,0,37,241,49,148,68.4,1738,0,0,0,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,72,53,2014,22,11,0,41,217,31,118,47.6,1210,2,4.6,12,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,71,53,2013,22,12,0,36,206,20,128,66.1,1678,0,0.4,1,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,75,56,2012,24,13,0,18,237,52,103,37.1,941,0,0,0,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,74,54,2011,24,12,0,33,229,90,108,39.3,997,2,5.6,14,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Atlanta,GA,72,53,2010,22,12,0,66,222,85,92,48.2,1224,3,6.8,17,Atlanta's Hartsfield—Jackson International Airport,33.74900,-84.38799
Austin ,TX,81,60,2018,27,16,0,15,275,129,106,40.6,1030,0,0,0,Camp Mabry,30.26715,-97.74306
Austin ,TX,83,61,2017,28,16,0,6,313,127,75,34.7,882,0,0.4,1,Camp Mabry,30.26715,-97.74306
Austin ,TX,82,61,2016,28,16,0,6,301,119,93,38.9,987,0,0,0,Camp Mabry,30.26715,-97.74306
Austin ,TX,80,60,2015,27,15,0,12,283,121,100,60,1523,0,0,0,Camp Mabry,30.26715,-97.74306
Austin ,TX,80,58,2014,26,15,0,23,275,115,83,35.6,903,0,0.2,1,Camp Mabry,30.26715,-97.74306
Austin ,TX,81,59,2013,27,15,0,13,281,135,86,41.1,1043,0,0,0,Camp Mabry,30.26715,-97.74306
Austin ,TX,83,61,2012,28,16,0,11,303,134,67,33,839,0,0,0,Camp Mabry,30.26715,-97.74306
Austin ,TX,84,60,2011,29,16,0,18,287,164,50,19.7,500,0,0.9,2,Camp Mabry,30.26715,-97.74306
Austin ,TX,80,59,2010,26,15,0,21,266,119,73,37.8,959,0,0.6,2,Camp Mabry,30.26715,-97.74306
Baltimore,MD,66,48,2018,19,9,0,103,171,39,145,71.8,1825,5,12.8,33,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,67,47,2017,20,9,0,81,187,31,121,38.3,973,2,7.4,19,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,67,47,2016,20,8,0,88,173,48,116,40.6,1030,4,35.2,89,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,66,46,2015,19,8,0,94,182,26,126,51.2,1300,10,28.1,71,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,64,44,2014,18,7,0,103,166,14,127,52.6,1336,7,36.6,93,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,65,47,2013,18,8,0,100,160,27,119,43,1091,4,9.5,24,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,69,49,2012,20,9,0,77,184,45,119,37.4,951,1,3.2,8,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,68,48,2011,20,9,0,94,182,40,133,56.6,1436,3,13.2,34,Baltimore Washington International Airport,39.29039,-76.61219
Baltimore,MD,67,47,2010,19,8,0,95,180,59,104,43.5,1105,9,58.1,148,Baltimore Washington International Airport,39.29039,-76.61219
Birmingham,AL,75,55,2018,24,13,0,44,231,100,129,61.1,1552,0,0,0,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,76,56,2017,24,13,0,33,250,50,118,69.1,1754,1,4.3,11,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,77,56,2016,25,13,0,38,255,99,101,40.3,1025,0,0,0,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,75,55,2015,24,13,0,51,242,59,131,60.9,1548,0,0.8,2,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,73,52,2014,23,11,0,65,218,58,110,49.8,1264,2,5,13,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,72,53,2013,22,12,0,55,218,28,125,67.9,1725,1,2.1,5,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,76,55,2012,24,13,0,29,248,56,109,49.4,1254,0,0,0,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,75,54,2011,24,12,0,39,234,88,102,58.3,1482,2,2,5,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Birmingham,AL,74,52,2010,23,11,0,73,230,103,98,47.9,1217,1,1.7,4,Birmingham-Shuttlesworth International Airport,33.51859,-86.81036
Boston,MA,60,46,2018,16,8,1,95,134,23,143,53.3,1355,10,51,130,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,60,45,2017,16,7,0,90,132,12,138,43.5,1104,13,50.9,129,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,61,46,2016,16,8,2,81,132,22,117,33.1,840,10,41.2,105,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,60,44,2015,15,7,3,99,129,14,123,34.8,884,18,108.6,276,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,59,44,2014,15,7,0,100,121,8,127,45.3,1150,11,50.2,128,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,60,45,2013,15,7,0,106,127,18,129,40.4,1027,12,71.4,181,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,61,47,2012,16,8,0,74,131,12,122,36.8,933,4,12.2,31,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,61,46,2011,16,8,1,89,124,13,138,52.4,1331,12,60,152,Boston's Logan International Airport,42.36008,-71.05888
Boston,MA,61,46,2010,16,8,0,88,141,25,112,49.7,1262,8,42.4,108,Boston's Logan International Airport,42.36008,-71.05888
Buffalo,NY,57,42,2018,14,6,4,144,142,6,180,41.7,1059,33,105.9,269,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,58,42,2017,14,6,1,108,131,2,167,48.5,1232,25,79.1,201,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,60,43,2016,15,6,2,114,144,8,144,33.9,861,19,85.1,216,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,57,40,2015,14,5,12,113,131,1,161,36.9,936,26,82.3,209,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,55,39,2014,13,4,6,131,132,0,173,42.4,1078,30,123.4,313,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,57,41,2013,14,5,0,132,133,3,174,46.1,1171,21,75.6,192,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,60,44,2012,16,7,0,111,143,9,146,32.8,834,12,55.2,140,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,57,42,2011,14,5,3,127,128,2,177,49.6,1260,26,82.2,209,Buffalo Niagara International Airport,42.88645,-78.87837
Buffalo,NY,57,42,2010,14,5,4,122,120,1,144,36.8,934,24,82.8,210,Buffalo Niagara International Airport,42.88645,-78.87837
Charlotte,NC,73,52,2018,23,11,0,62,209,74,136,59.2,1503,2,7,18,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,74,52,2017,23,11,0,44,236,45,113,44.7,1136,2,2.3,6,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,74,52,2016,23,11,0,58,233,80,91,33.6,852,1,3.3,8,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,73,52,2015,23,11,0,57,224,73,121,49.5,1257,1,3.1,8,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,71,49,2014,22,9,0,79,210,37,110,45.5,1155,3,9.3,24,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,71,50,2013,21,10,0,76,208,20,124,49.7,1261,1,2.7,7,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,74,51,2012,23,11,0,49,226,49,106,33.7,856,0,0,0,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,73,50,2011,23,10,0,65,219,73,108,44.6,1132,1,4.1,10,Charlotte Douglas International Airport,35.22709,-80.84312
Charlotte,NC,72,49,2010,22,9,0,82,218,87,101,36.4,925,4,7.9,20,Charlotte Douglas International Airport,35.22709,-80.84312
Chicago,IL,60,44,2018,15,7,5,123,142,29,154,44.1,1120,14,43.3,110,Chicago's Midway Airport,41.87811,-87.62980
Chicago,IL,62,46,2017,17,8,4,88,161,17,123,45.7,1160,4,16.2,41,Chicago's Midway Airport,41.87811,-87.62980
Chicago,IL,62,47,2016,17,8,3,94,161,26,126,42,1067,9,31.8,81,Chicago's Midway Airport,41.87811,-87.62980
Chicago,IL,61,45,2015,16,7,10,93,151,18,128,46,1169,15,57.5,146,Chicago's Midway Airport,41.87811,-87.62980
Chicago,IL,58,41,2014,14,5,13,119,143,8,140,52,1322,19,75.4,192,Chicago's Midway Airport,41.87811,-87.62980
Chicago,IL,59,42,2013,15,5,4,135,144,18,140,42.4,1076,12,41.2,105,Chicago's Midway Airport,41.87811,-87.62980
Chicago,IL,64,47,2012,18,8,0,88,156,47,112,31.6,801,4,20.9,53,Chicago's Midway Airport,41.87811,-87.62980
Chicago,IL,60,44,2011,15,7,3,104,130,26,144,46.7,1185,6,40.7,103,Chicago's Midway Airport,41.87811,-87.62980
