State,Average Crime Rate,Labor Force,Unemployed,Total State Tax,Annual Home Price,Annual Wages per Employee,Crime Rate / Labor Force,Unemployed / Labor Force,Crime Rate WSA,Labor Force WSA,Unemployed WSA,Total State Tax WSA,Home Price WSA,Wages WSA,Total WSA
SD,99,459462,13860,1917548.0,201525.0,26268.0,0.021546939681627644,3.01657155542787,0.2661290322580645,0.003947631874525343,0.25046080451046293,0.19466705812293064,0.3306669948314054,0.09837981168962495,1.1442513332870137
VT,119,346061,9223,3284231.0,198525.0,33836.0,0.03438700113563793,2.665137071209989,0.31989247311827956,0.002973306680705074,0.16666666666666666,0.3334109951699413,0.32574452375092294,0.12672374403571454,1.2754117094222301
ND,94,404302,10546,4205184.0,192150.0,26802.0,0.023249946821930143,2.608446161532716,0.25268817204301075,0.0034737050335704477,0.19057428891539266,0.4269049839407504,0.31528427270489784,0.10037976674681467,1.2893051893844367
WY,155,289576,11755,1837401.0,220241.665,35939.0,0.053526535348233276,4.059383374312788,0.41666666666666663,0.0024879956290129557,0.21242184394087243,0.1865306356149264,0.3613777422265978,0.13459997153622016,1.3140848556142966
NE,62,1020205,28513,5393093.0,164125.0,24736.0,0.006077209972505526,2.794830450742743,0.16666666666666666,0.008765455634089711,0.5152517257580685,0.5475000096442804,0.2693001886947247,0.09264211291132035,1.6001261593091503
MT,183,528250,19659,2944827.0,225283.33,26656.0,0.03464268812115476,3.7215333648840514,0.49193548387096775,0.004538648544859014,0.3552531714192779,0.29895512851358896,0.3696502256132578,0.09983296255514858,1.6201656205171
NH,160,761750,19239,2920888.0,250870.835,36955.0,0.02100426649163111,2.5256317689530685,0.4301075268817204,0.00654484719175836,0.34766345007047594,0.2965248713808315,0.41163481007465746,0.1384051294727459,1.6308806350721896
ME,116,698749,23527,4410632.0,216150.0,34663.0,0.016601097103537896,3.3670173409908277,0.31182795698924726,0.006003551598810585,0.42515089088872016,0.4477618061727049,0.35466404134875706,0.129821052710426,1.6752292997086657
RI,158,555807,22636,3483100.0,281462.5,43074.0,0.02842713387920627,4.072636724618437,0.4247311827956989,0.004775414352621778,0.40904983917019044,0.3535999256070668,0.46183033883009267,0.16132221747825892,1.8153089182339295
ID,157,857054,24321,4848359.0,216508.33,27350.0,0.01831856569131,2.837744179479939,0.42204301075268813,0.00736368554655106,0.439499078390979,0.4921992999673719,0.3552519977028468,0.10243215508265731,1.8187892274430941
