State,Average Crime Rate,Labor Force,Unemployed,Total State Tax,Annual Home Price,Annual Wages per Employee,Crime Rate / Labor Force,Unemployed / Labor Force,Crime Rate WSA,Labor Force WSA,Unemployed WSA,Total State Tax WSA,Home Price WSA,Wages WSA,Total WSA
SD,99,459462,13860,1917548.0,201525.0,26268.0,0.021546939681627644,3.01657155542787,0.1596774193548387,0.002368579124715206,0.3005529654125556,0.2336004697475168,0.3968003937976865,0.11805577402754995,1.2110556014648626
WY,155,289576,11755,1837401.0,220241.665,35939.0,0.053526535348233276,4.059383374312788,0.25,0.0014927973774077736,0.25490621272904695,0.2238367627379117,0.4336532906719174,0.1615199658434642,1.3254090293597482
VT,119,346061,9223,3284231.0,198525.0,33836.0,0.03438700113563793,2.665137071209989,0.19193548387096776,0.0017839840084230446,0.2,0.40009319420392964,0.3908934285011076,0.15206849284285748,1.3367745834272855
ND,94,404302,10546,4205184.0,192150.0,26802.0,0.023249946821930143,2.608446161532716,0.15161290322580645,0.002084223020142269,0.2286891466984712,0.5122859807289005,0.37834112724587743,0.12045572009617762,1.3934691010153755
MT,183,528250,19659,2944827.0,225283.33,26656.0,0.03464268812115476,3.7215333648840514,0.29516129032258065,0.0027231891269154087,0.42630380570313353,0.35874615421630685,0.4435802707359094,0.1197995550661783,1.646314265171024
NH,160,761750,19239,2920888.0,250870.835,36955.0,0.02100426649163111,2.5256317689530685,0.25806451612903225,0.003926908315055017,0.4171961400845712,0.3558298456569978,0.493961772089589,0.16608615536729512,1.6950653376425406
NE,62,1020205,28513,5393093.0,164125.0,24736.0,0.006077209972505526,2.794830450742743,0.1,0.005259273380453827,0.6183020709096824,0.6570000115731365,0.3231602264336697,0.11117053549358442,1.8148921177905268
ME,116,698749,23527,4410632.0,216150.0,34663.0,0.016601097103537896,3.3670173409908277,0.1870967741935484,0.003602130959286351,0.5101810690664642,0.5373141674072459,0.4255968496185085,0.15578526325251119,1.8195762544975644
AK,289,356886,23510,1641733.0,310387.5,28173.0,0.08097823954988427,6.587537757154946,0.4661290322580645,0.0018397881206783388,0.5098124254580939,0.2,0.6111493969972926,0.12661737938473291,1.9155480222188626
RI,158,555807,22636,3483100.0,281462.5,43074.0,0.02842713387920627,4.072636724618437,0.25483870967741934,0.002865248611573067,0.49085980700422854,0.42431991072848024,0.5541964065961112,0.19358666097391072,1.9206667435917233
ID,157,857054,24321,4848359.0,216508.33,27350.0,0.01831856569131,2.837744179479939,0.2532258064516129,0.004418211327930636,0.5273988940691748,0.5906391599608463,0.42630239724341623,0.12291858609918878,1.9249030551521698
WV,253,783351,41170,5417673.0,108900.0,30024.0,0.032297143936753765,5.255626149708113,0.40806451612903233,0.004038263938965096,0.8927680798004988,0.6599944083477642,0.21442284026581346,0.13493629356643672,2.3142244020485103
DE,524,482465,18128,4219706.0,239100.0,40501.0,0.10860891463629486,3.7573710010052546,0.8451612903225807,0.0024871622188684193,0.39310419603166,0.5140550869112092,0.47078513413733697,0.18202287589042943,2.407615745512085
MS,146,1275732,60737,7890571.0,112633.33,26700.0,0.011444409954441842,4.760952927417357,0.23548387096774195,0.0065765442711936545,1.3170768730348044,0.9612489972486391,0.2217737238493724,0.11999730343138358,2.8621573128031352
IA,169,1686848,42570,10088480.0,155470.83,32821.0,0.010018685738134081,2.5236417270554314,0.2725806451612903,0.008695894240149556,0.9231269651957064,1.2290037417777435,0.3061202658134383,0.14750679760005395,2.887034309788382
NM,427,940362,46539,5671904.0,193387.5,30236.0,0.04540804498693057,4.94905153547251,0.6887096774193548,0.004847673589710227,1.0091944052911201,0.6909654614970888,0.3807777504307162,0.13588908114424395,2.9103840493722344
KS,237,1482228,49835,9546790.0,117291.67,25004.0,0.015989442919712757,3.3621683033919205,0.3822580645161291,0.007641054752881348,1.0806678954786946,1.1630137178213509,0.23094594142259417,0.11237500280892565,2.976901676800576
UT,145,1572137,48978,8038709.0,300758.33,26604.0,0.009223114779437162,3.1153773494294708,0.2338709677419355,0.008104545924129503,1.0620839206331998,0.9792955370940343,0.5921896726556731,0.11956585245275386,2.9951104965017263
HI,203,678735,16607,7714451.0,694550.0,44174.0,0.029908579931784866,2.446757571069711,0.3274193548387097,0.0034989565017641833,0.3601214355415809,0.9397936205217292,1.3675609155796211,0.19853037010404262,3.1969246530874473
AR,335,1351498,50038,9843173.0,127237.5,26772.0,0.02478731008111,3.7024102144435287,0.5403225806451614,0.0069671266609520515,1.0850699338609997,1.1991198325184425,0.25052916564115185,0.12032089166535585,3.202329530992063
OK,254,1841876,62504,9563830.0,101575.0,27947.0,0.01379028772838128,3.3934966306092265,0.4096774193548387,0.00949508129924552,1.3553941233871845,1.1650895730304502,0.2,0.1256016718725422,3.2652578689442615
KY,99,2061631,89319,12059970.0,135425.0,27790.0,0.004802023252463705,4.332443584715208,0.1596774193548387,0.010627943441385217,1.9368752032961076,1.4691755602159426,0.2666502584297317,0.12489606975124155,3.9679024544892476
NV,435,1500379,68419,9157036.0,299350.0,37919.0,0.028992674517571895,4.560114477741957,0.7016129032258065,0.007734625232469879,1.4836604141819365,1.1155329155228042,0.5894166871769628,0.17041864227770165,4.068376187617681
AL,386,2198844,86493,11055577.0,133891.67,31376.0,0.017554678731187844,3.933566910613031,0.6225806451612903,0.011335292139296137,1.8755936246340672,1.3468179052257585,0.26363114939699733,0.14101256151547156,4.260971178072881
SC,581,2323214,79555,10550096.0,144158.33,29564.0,0.02500845811018701,3.4243509207503053,0.9370967741935484,0.011976433704302233,1.725143662582674,1.285238951766213,0.28384608417425544,0.1328689242938361,4.3761708307148295
OR,167,2104519,87365,12644869.0,302187.5,29935.0,0.007935304931910806,4.151304882493339,0.2693548387096774,0.0108490359833164,1.8945028732516533,1.5404294120907602,0.5950036918533104,0.13453630255499877,4.444676154443716
MO,270,3052398,97585,13027504.0,151025.0,25145.0,0.008845504419803708,3.1969946252094252,0.43548387096774194,0.015735460567190423,2.1161227366366693,1.5870429600915619,0.29736647797194193,0.11300869643378803,4.564760202668894
LA,398,2103502,102708,11357686.0,142550.0,30354.0,0.018920828218846476,4.882714634927849,0.6419354838709678,0.010843793232077266,2.2272145722649896,1.383621575493701,0.2806793010091066,0.1364194063054763,4.680714132176319
CT,181,1905313,78243,19081475.0,250791.67,44501.0,0.009499751484401776,4.106569366817945,0.29193548387096774,0.009822106284847285,1.6966930499837365,2.3245527744158156,0.49380589712035444,0.2,5.016809311675722
WI,143,3133301,94006,18742929.0,173850.0,28026.0,0.0045638768825593205,3.000222449103996,0.23064516129032261,0.01615252477908789,2.0385124146156346,2.2833102581235805,0.34230863893674623,0.12595672007370623,5.036885717819078
CO,182,3096364,101608,14802263.0,370450.0,26683.0,0.005877861905124849,3.2815263321754164,0.2935483870967742,0.0159621103223328,2.2033611623116123,1.8032485184862581,0.7294117647058824,0.1199209006539179,5.165452843576778
TN,401,3244928,113266,14269061.0,125095.83,27339.0,0.012357747228906158,3.4905551063074434,0.6467741935483872,0.016727974722618767,2.4561639379811346,1.738292523814774,0.24631224218557715,0.12286914900788747,5.227140021260379
