State Long,Annual Wages per Employee
Alabama,40698.07
Alaska,50774.40
Arizona,47912.44
Arkansas,36684.32
California,52878.68
Colorado,43319.98
Connecticut,62766.00
Delaware,55862.00
District of Columbia ,78338.00
Florida,41197.19
Georgia,38325.44
Hawaii,51810.40
Idaho,39093.49
Illinois,41814.47
Indiana,41431.65
Iowa,41016.73
Kansas,36782.07
Kentucky,38701.17
Louisiana,43719.40
Maine,42391.12
Maryland,51322.72
Massachusetts,61782.33
Michigan,42426.57
Minnesota,42882.11
Mississippi,36400.87
Missouri,34896.03
Montana,39172.56
Nebraska,37594.20
Nevada,56752.72
New Hampshire ,54615.73
New Jersey ,61529.32
New Mexico ,39335.06
New York ,48694.05
North Carolina ,39096.78
North Dakota ,46755.09
Ohio,42950.22
Oklahoma,39574.95
Oregon,43411.59
Pennsylvania,46070.25
Rhode Island ,55024.17
South Carolina ,40885.19
South Dakota ,37864.07
Tennessee,40013.08
Texas,44726.45
Utah,38331.28
Vermont,42803.00
Virginia,43067.74
Washington,46354.30
West Virginia ,42532.63
Wisconsin,40934.41
Wyoming,45789.58
