State,Annual average
IL,1042066.67
TX,333816.67
IL,1319725
TX,123525
TX,177316.67
TX,167300
NY,427375
IL,768933.33
NY,1028475
CA,3909358.33
TN,216450
TX,245250
FL,256591.67
NY,1081316.67
NY,816325
IL,475925
CA,625533.33
TN,266850
IL,467583.33
NY,11157075
TX,264625
TX,260208.33
NY,7241966.67
NY,4942475
DC,700425
TX,225308.33
NC,201350
TX,298208.33
TX,106125
CA,423575
TX,189316.67
GA,128108.33
CA,1921633.33
DC,1078300
TX,206383.33
TN,132700
TX,253833.33
OK,164325
NY,465666.67
NY,405241.67
TX,245125
TX,369075
GA,188041.67
MO,196683.33
IL,1051900
TX,198766.67
NY,783933.33
GA,231066.67
NY,438283.33
NY,1228250
IL,459400
NY,1029466.67
IL,167308.33
NC,361033.33
NJ,1786933.33
TX,170616.67
TX,336625
TX,570650
AZ,271291.67
IL,1054983.33
NY,1061916.67
FL,1390250
VA,255441.67
TX,315183.33
GA,226100
MD,206350
TX,300375
WA,907741.67
NY,847100
TX,72466.67
CA,1026000
TX,248700
NJ,414508.33
TX,208475
GA,348016.67
NY,778383.33
FL,315600
TX,301433.33
IL,132291.67
CA,1617008.33
FL,306091.67
CA,1415633.33
FL,3141283.33
OH,181816.67
NC,221708.33
TX,245508.33
VA,195700
NY,759241.67
MA,458283.33
MI,215758.33
KS,256975
OH,94641.67
CA,420341.67
CA,550183.33
CA,458058.33
AZ,180583.33
CA,479250
IL,1512791.67
CA,661766.67
NY,603725
NY,892883.33
TN,282675
NY,553558.33
GA,156266.67
NY,1543225
NY,2241633.33
CA,974900
FL,133650
CA,682633.33
AZ,261991.67
CO,477958.33
NM,220583.33
CA,551458.33
CT,194275
CA,243791.67
TX,187183.33
OH,243966.67
PA,159500
NV,216400
AZ,290391.67
AZ,262458.33
NM,267441.67
MI,98275
FL,314900
OR,569916.67
CA,383650
TX,271391.67
PA,147400
TX,271108.33
CA,693133.33
CA,411408.33
TX,146008.33
AZ,134741.67
OH,182683.33
NY,2807216.67
OH,179441.67
TX,87700
CO,339900
FL,278291.67
FL,350866.67
NY,660300
TX,281766.67
WA,605208.33
CA,1493616.67
MD,383916.67
TX,209483.33
NY,245191.67
FL,297383.33
CA,954291.67
GA,296466.67
NC,304991.67
OH,221700
MA,476833.33
MO,126425
IL,131108.33
NY,782266.67
CA,275658.33
CA,449133.33
OH,199241.67
TX,253525
IN,211800
NC,226000
MO,223925
GA,234533.33
CA,249000
NV,216650
IN,220391.67
NJ,1391875
CA,577033.33
NJ,271566.67
TX,258658.33
WA,226400
IL,271725
CA,614358.33
NC,113466.67
TX,185408.33
CA,387883.33
FL,259358.33
OH,132683.33
DC,625666.67
WA,849216.67
NC,116533.33
TX,255083.33
SC,183741.67
CA,1123075
NY,863608.33
NC,172225
IL,269641.67
CA,490208.33
TX,256033.33
TX,220275
NM,196741.67
NC,297250
MD,159066.67
VA,313633.33
KY,168158.33
CA,1098891.67
FL,356366.67
NJ,371700
CA,475550
VA,261966.67
CA,432116.67
IN,143958.33
OH,216616.67
CA,477383.33
FL,256416.67
PA,178183.33
NV,346108.33
NY,480983.33
GA,318416.67
GA,355458.33
OK,160991.67
FL,170866.67
GA,202016.67
MD,271108.33
TX,366491.67
CA,460850
FL,154541.67
NC,102991.67
CA,437975
CA,625150
CA,1235741.67
FL,329608.33
FL,194250
CA,1577083.33
NJ,412183.33
TN,174983.33
FL,330666.67
MI,372066.67
GA,332300
TX,475450
CA,525041.67
NV,417250
GA,146591.67
MA,622125
CO,305083.33
OH,249175
NY,465941.67
TX,117433.33
SC,203941.67
CA,527208.33
TN,196133.33
CA,1025700
FL,328358.33
IL,380375
CA,342208.33
NY,862300
IL,132933.33
CA,504300
VA,304416.67
OH,138241.67
CA,586766.67
FL,275516.67
VA,318825
FL,246833.33
OH,135391.67
MI,142700
CA,916708.33
AR,110766.67
DC,797258.33
MA,361450
FL,409733.33
MD,605958.33
VA,175033.33
FL,232408.33
GA,413383.33
AZ,148441.67
NM,146858.33
FL,221500
NY,1273641.67
CA,384250
NJ,435033.33
