County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Autauga County, Alabama,871,10954,420695818,739,38405,1,1,AL
Baldwin County, Alabama,6298,74017,2723206902,708,36792,1,1,AL
Barbour County, Alabama,555,8114,309852494,734,38189,1,1,AL
Bibb County, Alabama,374,4216,168960004,771,40078,1,1,AL
Blount County, Alabama,780,8527,303576412,685,35604,1,1,AL
Bullock County, Alabama,163,2972,104188004,674,35052,1,1,AL
Butler County, Alabama,480,6748,235132623,670,34843,1,1,AL
Calhoun County, Alabama,2546,44430,1763198620,763,39685,1,1,AL
Chambers County, Alabama,602,8353,317789652,732,38044,1,1,AL
Cherokee County, Alabama,416,5267,181514879,663,34462,1,1,AL
Chilton County, Alabama,801,9512,359545097,727,37801,1,1,AL
Choctaw County, Alabama,311,3761,189906252,971,50496,1,1,AL
Clarke County, Alabama,653,8018,322710230,774,40249,1,1,AL
Clay County, Alabama,216,4275,146506728,659,34271,1,1,AL
Cleburne County, Alabama,222,2124,97162051,880,45748,1,1,AL
Coffee County, Alabama,1072,15871,550072984,667,34658,1,1,AL
Colbert County, Alabama,1307,23823,1058147861,854,44418,1,1,AL
Conecuh County, Alabama,256,3475,124568476,689,35848,1,1,AL
Coosa County, Alabama,121,1405,52005288,712,37019,1,1,AL
Covington County, Alabama,893,12377,449982720,699,36357,1,1,AL
Crenshaw County, Alabama,257,3668,134717847,706,36725,1,1,AL
Cullman County, Alabama,1843,28844,1113900255,743,38618,1,1,AL
Dale County, Alabama,867,16979,912731149,1034,53758,1,1,AL
Dallas County, Alabama,847,12456,469737700,725,37711,1,1,AL
DeKalb County, Alabama,1194,21804,814664608,719,37363,1,1,AL
Elmore County, Alabama,1391,19848,699459605,678,35240,1,1,AL
Escambia County, Alabama,846,12767,505030371,761,39559,1,1,AL
Etowah County, Alabama,2090,36281,1327683281,704,36594,1,1,AL
Fayette County, Alabama,348,4021,133734282,640,33256,1,1,AL
Franklin County, Alabama,586,10810,395542492,704,36591,1,1,AL
Geneva County, Alabama,496,5014,165894703,636,33090,1,1,AL
Greene County, Alabama,164,1770,61097846,664,34525,1,1,AL
Hale County, Alabama,284,2733,101496574,714,37135,1,1,AL
Henry County, Alabama,341,3338,139982447,807,41941,1,1,AL
Houston County, Alabama,2967,48042,2052293339,822,42719,1,1,AL
Jackson County, Alabama,990,15894,574980523,696,36177,1,1,AL
Jefferson County, Alabama,18879,350044,19591269811,1076,55968,1,1,AL
Lamar County, Alabama,285,3457,138476234,770,40055,1,1,AL
Lauderdale County, Alabama,2107,29738,1041773707,674,35032,1,1,AL
Lawrence County, Alabama,458,4901,171432314,673,34977,1,1,AL
Lee County, Alabama,3201,58999,2326407892,758,39431,1,1,AL
Limestone County, Alabama,1453,23979,1192465135,956,49729,1,1,AL
Lowndes County, Alabama,172,2354,106682358,872,45320,1,1,AL
Macon County, Alabama,235,4747,202382947,820,42632,1,1,AL
Madison County, Alabama,9731,200191,11901655628,1143,59452,1,1,AL
Marengo County, Alabama,526,7082,285536409,775,40320,1,1,AL
Marion County, Alabama,627,9991,358786740,691,35909,1,1,AL
Marshall County, Alabama,2099,37019,1350210486,701,36473,1,1,AL
Mobile County, Alabama,10230,171035,8130356131,914,47536,1,1,AL
Monroe County, Alabama,444,6127,263099881,826,42938,1,1,AL
Montgomery County, Alabama,6400,130998,6020186514,884,45956,1,1,AL
Morgan County, Alabama,2773,48370,2188153850,870,45238,1,1,AL
Perry County, Alabama,155,2121,66554280,603,31376,1,1,AL
Pickens County, Alabama,338,3814,147497519,744,38669,1,1,AL
Pike County, Alabama,714,14254,567745341,766,39832,1,1,AL
Randolph County, Alabama,398,4825,162065214,646,33591,1,1,AL
Russell County, Alabama,917,14056,530181652,725,37719,1,1,AL
St. Clair County, Alabama,1514,19779,749790680,729,37908,1,1,AL
Shelby County, Alabama,5847,85097,4602597143,1040,54087,1,1,AL
Sumter County, Alabama,240,2919,114349803,753,39172,1,1,AL
Talladega County, Alabama,1393,29697,1363873586,883,45926,1,1,AL
Tallapoosa County, Alabama,847,12959,445649694,661,34391,1,1,AL
Tuscaloosa County, Alabama,4593,94504,4318858443,879,45700,1,1,AL
Walker County, Alabama,1391,18312,707209863,743,38621,1,1,AL
Washington County, Alabama,262,3585,225581778,1210,62919,1,1,AL
Wilcox County, Alabama,242,2815,124784363,853,44336,1,1,AL
Winston County, Alabama,491,7875,291503277,712,37018,1,1,AL
Unknown Or Undefined, Alabama,13632,53299,3742479462,1350,70217,1,1,AL
Aleutians East Borough, Alaska,101,2183,124750104,1099,57153,1,1,AK
Aleutians West Census Area, Alaska,170,3298,205671374,1199,62364,1,1,AK
Anchorage Municipality, Alaska,8235,148080,8652009542,1124,58428,1,1,AK
Bethel Census Area, Alaska,345,6967,304690272,841,43735,1,1,AK
Bristol Bay Borough, Alaska,124,1300,72841785,1078,56032,1,1,AK
Denali Borough, Alaska,145,2062,99481251,928,48251,1,1,AK
Dillingham Census Area, Alaska,158,2561,118590250,891,46315,1,1,AK
Fairbanks North Star Borough, Alaska,2272,36693,1947881505,1021,53087,1,1,AK
Haines Borough, Alaska,159,996,38995429,753,39165,1,1,AK
Hoonah-Angoon Census Area, Alaska,134,794,29076239,704,36616,1,1,AK
Juneau City and Borough, Alaska,1119,17310,910750414,1012,52615,1,1,AK
Kenai Peninsula Borough, Alaska,2028,19497,960436147,947,49260,1,1,AK
Ketchikan Gateway Borough, Alaska,587,7320,350176265,920,47841,1,1,AK
Kodiak Island Borough, Alaska,494,5882,271264468,887,46118,1,1,AK
Kusilvak Census Area, Alaska,140,2345,66067777,542,28173,1,1,AK
Lake and Peninsula Borough, Alaska,122,976,40334943,795,41320,1,1,AK
Matanuska-Susitna Borough, Alaska,2169,23314,1006869402,831,43188,1,1,AK
Nome Census Area, Alaska,303,3838,198981717,997,51846,1,1,AK
North Slope Borough, Alaska,244,11901,1199347448,1938,100778,1,1,AK
Northwest Arctic Borough, Alaska,163,2878,208306730,1392,72383,1,1,AK
Petersburg Borough, Alaska,166,1209,53547240,852,44297,1,1,AK
Prince of Wales-Hyder Census Area, Alaska,234,2215,92340440,802,41690,1,1,AK
Sitka City and Borough, Alaska,364,4171,195430249,901,46859,1,1,AK
Skagway Municipality, Alaska,135,957,37708388,757,39386,1,1,AK
Southeast Fairbanks Census Area, Alaska,251,2486,169448619,1311,68175,1,1,AK
Valdez-Cordova Census Area, Alaska,549,4889,275455681,1083,56340,1,1,AK
Wrangell City and Borough, Alaska,93,849,35328251,800,41603,1,1,AK
Yakutat City and Borough, Alaska,42,268,11348023,815,42370,1,1,AK
Yukon-Koyukuk Census Area, Alaska,263,2295,88658551,743,38638,1,1,AK
Unknown Or Undefined, Alaska,608,1516,104888029,1331,69206,1,1,AK
Apache County, Arizona,606,18024,779216809,831,43232,1,1,AZ
Cochise County, Arizona,2291,34000,1565806649,886,46053,1,1,AZ
Coconino County, Arizona,3418,62662,2714381231,833,43318,1,1,AZ
Gila County, Arizona,975,14869,624817097,808,42021,1,1,AZ
Graham County, Arizona,541,9144,389952285,820,42648,1,1,AZ
Greenlee County, Arizona,100,4890,340124288,1338,69557,1,1,AZ
La Paz County, Arizona,362,5815,220530907,729,37922,1,1,AZ
Maricopa County, Arizona,99588,1993170,1.08239E+11,1044,54305,1,1,AZ
Mohave County, Arizona,3746,50280,1926378646,737,38313,1,1,AZ
Navajo County, Arizona,1659,26684,1047336426,755,39250,1,1,AZ
Pima County, Arizona,18803,368426,17397658437,908,47222,1,1,AZ
Pinal County, Arizona,3230,62138,2674143290,828,43035,1,1,AZ
Santa Cruz County, Arizona,1183,13309,661795610,956,49727,1,1,AZ
Yavapai County, Arizona,5741,64695,2585043516,768,39958,1,1,AZ
Yuma County, Arizona,3239,67627,2657373753,756,39294,1,1,AZ
Unknown Or Undefined, Arizona,15614,30248,2744812651,1745,90744,1,1,AZ
Arkansas County, Arkansas,804,9780,399157687,785,40815,1,1,AR
Ashley County, Arkansas,570,6678,291479225,839,43649,1,1,AR
Baxter County, Arkansas,1245,14973,528714120,679,35310,1,1,AR
Benton County, Arkansas,6599,119796,7099342193,1140,59262,1,1,AR
Boone County, Arkansas,977,14059,548641747,750,39025,1,1,AR
Bradley County, Arkansas,369,3815,133001118,670,34861,1,1,AR
Calhoun County, Arkansas,105,3032,166895237,1059,55043,1,1,AR
Carroll County, Arkansas,817,10652,323521157,584,30372,1,1,AR
Chicot County, Arkansas,504,3057,99764455,628,32630,1,1,AR
Clark County, Arkansas,664,9389,326922340,670,34820,1,1,AR
Clay County, Arkansas,384,3306,99741845,580,30166,1,1,AR
Cleburne County, Arkansas,657,6324,209355070,637,33105,1,1,AR
Cleveland County, Arkansas,133,1066,33946744,613,31852,1,1,AR
Columbia County, Arkansas,702,7947,320330387,775,40307,1,1,AR
Conway County, Arkansas,538,6385,249773103,752,39121,1,1,AR
Craighead County, Arkansas,2857,51038,2015424803,759,39489,1,1,AR
Crawford County, Arkansas,1255,19530,702486213,692,35970,1,1,AR
Crittenden County, Arkansas,1207,16094,599384602,716,37244,1,1,AR
Cross County, Arkansas,483,4829,163296702,650,33816,1,1,AR
Dallas County, Arkansas,237,2690,87481870,625,32523,1,1,AR
Desha County, Arkansas,557,4700,168138326,688,35773,1,1,AR
Drew County, Arkansas,544,6442,228383380,682,35451,1,1,AR
Faulkner County, Arkansas,2881,40546,1654003892,784,40793,1,1,AR
Franklin County, Arkansas,375,4669,171484009,706,36726,1,1,AR
Fulton County, Arkansas,207,1981,60199145,584,30390,1,1,AR
Garland County, Arkansas,3077,37203,1355189551,701,36427,1,1,AR
Grant County, Arkansas,345,4172,165768043,764,39734,1,1,AR
Greene County, Arkansas,913,15506,585346499,726,37751,1,1,AR
Hempstead County, Arkansas,521,7872,286471347,700,36390,1,1,AR
Hot Spring County, Arkansas,629,8249,297273820,693,36039,1,1,AR
Howard County, Arkansas,371,6937,230338766,639,33206,1,1,AR
Independence County, Arkansas,914,15935,614808779,742,38583,1,1,AR
Izard County, Arkansas,267,3077,100525605,628,32672,1,1,AR
Jackson County, Arkansas,442,5161,192064830,716,37212,1,1,AR
Jefferson County, Arkansas,2093,27613,1129793068,787,40915,1,1,AR
Johnson County, Arkansas,502,8559,281283833,632,32863,1,1,AR
Lafayette County, Arkansas,169,1194,36512951,588,30593,1,1,AR
Lawrence County, Arkansas,419,3970,132841443,644,33465,1,1,AR
Lee County, Arkansas,282,1922,65794216,658,34240,1,1,AR
Lincoln County, Arkansas,299,2822,98799364,673,35014,1,1,AR
Little River County, Arkansas,256,3359,170070130,974,50629,1,1,AR
Logan County, Arkansas,513,5321,176507128,638,33174,1,1,AR
Lonoke County, Arkansas,1306,14013,484602872,665,34583,1,1,AR
Madison County, Arkansas,271,3340,115880126,667,34691,1,1,AR
Marion County, Arkansas,292,3756,116400245,596,30995,1,1,AR
Miller County, Arkansas,897,12894,511037362,762,39635,1,1,AR
Mississippi County, Arkansas,1129,17705,905605093,984,51151,1,1,AR
Monroe County, Arkansas,299,2046,64723885,608,31637,1,1,AR
Montgomery County, Arkansas,177,1342,37248257,534,27747,1,1,AR
Nevada County, Arkansas,203,2472,94155405,733,38091,1,1,AR
Newton County, Arkansas,131,1056,28271460,515,26772,1,1,AR
Ouachita County, Arkansas,667,6900,244105150,680,35378,1,1,AR
Perry County, Arkansas,144,1153,37663724,628,32680,1,1,AR
Phillips County, Arkansas,756,5491,179274236,628,32647,1,1,AR
Pike County, Arkansas,265,2624,84070936,616,32035,1,1,AR
Poinsett County, Arkansas,513,5252,192486036,705,36649,1,1,AR
Polk County, Arkansas,513,5887,188196057,615,31970,1,1,AR
Pope County, Arkansas,1865,25991,1090167945,807,41944,1,1,AR
Prairie County, Arkansas,259,1471,47398181,620,32233,1,1,AR
Pulaski County, Arkansas,14441,251053,12409548955,951,49430,1,1,AR
Randolph County, Arkansas,405,5699,182257168,615,31983,1,1,AR
St. Francis County, Arkansas,715,7377,273813687,714,37115,1,1,AR
Saline County, Arkansas,2046,24707,887112072,690,35905,1,1,AR
Scott County, Arkansas,186,3058,94317803,593,30840,1,1,AR
Searcy County, Arkansas,181,1531,41392004,520,27033,1,1,AR
Sebastian County, Arkansas,3734,65431,2797063412,822,42748,1,1,AR
Sevier County, Arkansas,321,4862,161329633,638,33182,1,1,AR
Sharp County, Arkansas,396,3599,101541310,543,28212,1,1,AR
Stone County, Arkansas,284,2677,78688110,565,29390,1,1,AR
Union County, Arkansas,1312,17412,850775425,940,48861,1,1,AR
Van Buren County, Arkansas,349,3533,124849615,680,35338,1,1,AR
Washington County, Arkansas,6153,107980,4982718260,887,46145,1,1,AR
White County, Arkansas,1814,23908,889543925,716,37206,1,1,AR
Woodruff County, Arkansas,211,1711,61168117,687,35745,1,1,AR
Yell County, Arkansas,428,6543,208111687,612,31808,1,1,AR
Unknown Or Undefined, Arkansas,10189,34902,2052530515,1131,58809,1,1,AR
Alameda County, California,64452,786070,59896546812,1465,76197,1,1,CA
Alpine County, California,80,784,28623518,702,36494,1,1,CA
Amador County, California,1161,12280,548977568,860,44703,1,1,CA
Butte County, California,8653,83884,3592067813,824,42822,1,1,CA
Calaveras County, California,1336,9656,388803688,774,40266,1,1,CA
Colusa County, California,848,9317,410650303,848,44075,1,1,CA
Contra Costa County, California,32761,368466,25434238718,1327,69027,1,1,CA
Del Norte County, California,816,8215,321331761,752,39113,1,1,CA
El Dorado County, California,5558,57801,2916220036,970,50453,1,1,CA
Fresno County, California,36300,390350,17212780428,848,44096,1,1,CA
Glenn County, California,1196,9019,383090661,817,42478,1,1,CA
Humboldt County, California,5691,50317,2045043331,782,40644,1,1,CA
Imperial County, California,7583,62872,2521200961,771,40100,1,1,CA
Inyo County, California,742,7537,331437223,846,43973,1,1,CA
Kern County, California,19733,324815,15113271241,895,46529,1,1,CA
Kings County, California,4062,48085,2085230853,834,43366,1,1,CA
Lake County, California,3208,16432,645398557,755,39278,1,1,CA
Lassen County, California,725,9881,474776260,924,48048,1,1,CA
Los Angeles County, California,497026,4443084,2.88025E+11,1247,64825,1,1,CA
Madera County, California,4327,50143,2180100089,836,43478,1,1,CA
Marin County, California,12483,115803,8415319687,1397,72669,1,1,CA
Mariposa County, California,529,5580,222688703,767,39905,1,1,CA
Mendocino County, California,4243,32715,1309479962,770,40027,1,1,CA
Merced County, California,6700,80450,3385110807,809,42077,1,1,CA
Modoc County, California,372,2504,97537207,749,38956,1,1,CA
Mono County, California,639,7356,284924276,745,38732,1,1,CA
Monterey County, California,13970,195597,9414083152,926,48130,1,1,CA
Napa County, California,5884,78885,4393151851,1071,55691,1,1,CA
Nevada County, California,3699,31729,1441492443,874,45431,1,1,CA
Orange County, California,122965,1627664,1.01894E+11,1204,62601,1,1,CA
Placer County, California,13275,168088,9378144938,1073,55793,1,1,CA
Plumas County, California,879,6430,276281640,826,42970,1,1,CA
Riverside County, California,66051,737600,33295502244,868,45140,1,1,CA
Sacramento County, California,59119,664830,40159949892,1162,60406,1,1,CA
San Benito County, California,1610,16951,821221597,932,48448,1,1,CA
San Bernardino County, California,60425,752210,35282311811,902,46905,1,1,CA
San Diego County, California,112398,1464652,90683255634,1191,61915,1,1,CA
San Francisco County, California,60938,740706,87786224996,2279,118517,1,1,CA
San Joaquin County, California,18101,252969,11927923533,907,47152,1,1,CA
San Luis Obispo County, California,10470,118324,5703133906,927,48199,1,1,CA
San Mateo County, California,28426,404162,51115280163,2432,126472,1,1,CA
Santa Barbara County, California,15523,199592,10809263524,1041,54157,1,1,CA
Santa Clara County, California,73338,1098259,1.47846E+11,2589,134619,1,1,CA
Santa Cruz County, California,9518,104865,5373602777,985,51243,1,1,CA
Shasta County, California,7078,66567,2918703453,843,43846,1,1,CA
Sierra County, California,126,504,20021979,765,39766,1,1,CA
Siskiyou County, California,1758,13879,571966742,793,41212,1,1,CA
Solano County, California,11644,141524,8300141789,1128,58648,1,1,CA
Sonoma County, California,20198,210237,11508942331,1053,54743,1,1,CA
Stanislaus County, California,15942,191037,9135298143,920,47820,1,1,CA
Sutter County, California,3296,31228,1298018315,799,41565,1,1,CA
Tehama County, California,1892,18614,806779544,834,43343,1,1,CA
Trinity County, California,428,2724,112810687,796,41410,1,1,CA
Tulare County, California,10839,164023,6556553913,769,39973,1,1,CA
Tuolumne County, California,1634,17524,773494998,849,44139,1,1,CA
Ventura County, California,27584,326956,18073994127,1063,55280,1,1,CA
Yolo County, California,6801,104070,6265084017,1158,60201,1,1,CA
Yuba County, California,1687,17916,920088754,988,51357,1,1,CA
Unknown Or Undefined, California,49380,390469,35305987047,1739,90419,1,1,CA
Adams County, Colorado,11294,213241,11675846449,1053,54754,1,1,CO
Alamosa County, Colorado,625,8284,315134098,732,38041,1,1,CO
Arapahoe County, Colorado,22328,331792,22026183753,1277,66386,1,1,CO
Archuleta County, Colorado,587,4258,148979523,673,34992,1,1,CO
Baca County, Colorado,115,1092,34602828,610,31695,1,1,CO
Bent County, Colorado,102,1085,38650418,685,35617,1,1,CO
Boulder County, Colorado,15643,183493,12415605208,1301,67663,1,1,CO
Broomfield County, Colorado,2893,39652,3331667969,1616,84022,1,1,CO
Chaffee County, Colorado,1031,8085,302135138,719,37369,1,1,CO
Cheyenne County, Colorado,90,684,27903539,785,40805,1,1,CO
Clear Creek County, Colorado,377,3110,143570943,888,46168,1,1,CO
Conejos County, Colorado,174,1516,46577903,591,30721,1,1,CO
Costilla County, Colorado,97,933,28005895,578,30033,1,1,CO
Crowley County, Colorado,63,1090,44851844,791,41136,1,1,CO
Custer County, Colorado,147,825,27279222,636,33049,1,1,CO
Delta County, Colorado,911,8528,300562108,678,35246,1,1,CO
Denver County, Colorado,33400,518882,36703335312,1360,70735,1,1,CO
Dolores County, Colorado,83,540,18337660,653,33943,1,1,CO
Douglas County, Colorado,12322,125689,8081296995,1236,64296,1,1,CO
Eagle County, Colorado,3529,33263,1524807206,882,45840,1,1,CO
Elbert County, Colorado,681,3769,158093433,807,41945,1,1,CO
El Paso County, Colorado,20228,276316,13950375732,971,50487,1,1,CO
Fremont County, Colorado,937,13631,559742848,790,41065,1,1,CO
Garfield County, Colorado,2664,26257,1299634164,952,49497,1,1,CO
Gilpin County, Colorado,170,4842,219906630,873,45413,1,1,CO
Grand County, Colorado,878,7760,278403292,690,35877,1,1,CO
Gunnison County, Colorado,1216,8635,327315991,729,37905,1,1,CO
Hinsdale County, Colorado,83,280,8533417,587,30513,1,1,CO
Huerfano County, Colorado,184,1719,61561201,689,35814,1,1,CO
Jackson County, Colorado,89,591,23566567,767,39910,1,1,CO
Jefferson County, Colorado,20466,238894,14115300577,1136,59086,1,1,CO
Kiowa County, Colorado,55,476,17136768,692,35995,1,1,CO
Kit Carson County, Colorado,300,2823,102530966,699,36323,1,1,CO
Lake County, Colorado,246,2333,96201071,793,41244,1,1,CO
La Plata County, Colorado,2663,26358,1234085919,900,46820,1,1,CO
Larimer County, Colorado,12463,162242,8403819399,996,51798,1,1,CO
Las Animas County, Colorado,583,4965,197743610,766,39828,1,1,CO
Lincoln County, Colorado,163,2260,86566358,737,38312,1,1,CO
Logan County, Colorado,662,7986,319205339,769,39973,1,1,CO
Mesa County, Colorado,4968,62700,2785499556,854,44426,1,1,CO
Mineral County, Colorado,69,605,17776417,565,29366,1,1,CO
