RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,Annual average
84654,60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1,1028900,1034500,1037400,1038700,1041500,1042800,1042900,1044400,1047800,1049700,1048300,1047900,1042066.67
91982,77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,2,322700,326500,330400,332700,334500,335900,337000,338300,338400,336900,336000,336500,333816.67
84616,60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,1310100,1315300,1317900,1321100,1325300,1323800,1321200,1320700,1319500,1318800,1319700,1323300,1319725.00
93144,79936,El Paso,TX,El Paso,El Paso County,4,120300,120500,120800,121300,122200,123000,123600,124500,125600,126300,126800,127400,123525.00
91940,77449,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,5,173500,174600,175500,176400,176900,176900,177300,178000,178500,179300,180200,180700,177316.67
91733,77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,6,162600,162900,163600,164800,165500,166200,167300,168600,169500,170700,172300,173600,167300.00
61807,10467,New York,NY,New York-Newark-Jersey City,Bronx County,7,413100,413700,416600,420400,422800,425900,430100,433700,434500,435500,439100,443100,427375.00
84640,60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,8,782500,783800,785100,787700,788500,778400,763500,758400,756500,749000,744600,749200,768933.33
62037,11226,New York,NY,New York-Newark-Jersey City,Kings County,9,894600,915400,942500,969000,995600,1024700,1059600,1090700,1111800,1122700,1114600,1100500,1028475.00
97564,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,10,3754200,3751700,3761200,3810600,3876700,3942300,3982900,3993000,3999000,4014600,4009500,4016600,3909358.33
74101,37013,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,11,205700,208500,210600,212200,213700,214800,216100,218200,221000,223700,225800,227100,216450.00
92593,78660,Pflugerville,TX,Austin-Round Rock,Travis County,12,240300,242000,243300,243900,244300,244900,245700,246500,246800,247300,248400,249600,245250.00
71831,32162,The Villages,FL,The Villages,Sumter County,13,246600,249000,251100,252500,254000,255700,257700,259200,260900,263100,264500,264800,256591.67
62087,11375,New York,NY,New York-Newark-Jersey City,Queens County,14,1079600,1070900,1067600,1076000,1087300,1087500,1081300,1075200,1074500,1079300,1092900,1103700,1081316.67
62045,11235,New York,NY,New York-Newark-Jersey City,Kings County,15,803700,805900,807900,812700,817900,820400,819600,820600,826300,828200,820200,812500,816325.00
84646,60647,Chicago,IL,Chicago-Naperville-Elgin,Cook County,16,476600,477200,475200,474700,476100,477200,476400,475300,476200,476500,474900,474800,475925.00
96107,90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,17,599700,605900,611600,614200,617300,621000,625700,631100,636600,642800,648400,652100,625533.33
